valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto
http://39.88.200.53:34933/Mozi.m,url,Mozi,media,61,75,,"ThreatFox, URLhaus",2026-09-04 12:36:58 UTC
https://jsonserv.biz/app-store,url,Anubis,media,59,100,,ThreatFox,2026-09-05 02:51:31 UTC
http://sghecc.com/equal/five/fre.php,url,Loki Password Stealer (PWS),media,57,100,,ThreatFox,2026-09-05 01:50:03 UTC
https://cdn.jsdelivr.net/gh/frantario/rtr57-44/afa1194,url,ClearFake,media,55,100,,ThreatFox,2026-09-05 00:38:10 UTC
http://160.20.109.59/,url,Stealc,media,55,100,,ThreatFox,2026-09-04 23:00:10 UTC
https://cdn.jsdelivr.net/gh/cowenrty/issue/ggl,url,ClearFake,media,55,100,,ThreatFox,2026-09-04 21:46:23 UTC
https://apiflow7067.com/ue,url,KongTuke,media,55,100,,ThreatFox,2026-09-04 20:13:40 UTC
https://apiflow7067.com/b,url,KongTuke,media,55,100,,ThreatFox,2026-09-04 20:13:39 UTC
https://az888us.com/VertexNet/tasks.php,url,Unknown malware,media,55,100,,ThreatFox,2026-09-04 19:58:37 UTC
https://az888us.com/VertexNet/adduser.php,url,Unknown malware,media,55,100,,ThreatFox,2026-09-04 19:58:37 UTC
http://az888us.com/VertexNet/tasks.php,url,Unknown malware,media,55,100,,ThreatFox,2026-09-04 19:58:36 UTC
http://az888us.com/VertexNet/adduser.php,url,Unknown malware,media,55,100,,ThreatFox,2026-09-04 19:58:36 UTC
https://portalguard7797.com/ue,url,KongTuke,media,55,100,,ThreatFox,2026-09-04 19:28:07 UTC
https://portalguard7797.com/b,url,KongTuke,media,55,100,,ThreatFox,2026-09-04 19:28:06 UTC
https://cdn.jsdelivr.net/gh/cowenrty/issue/google,url,ClearFake,media,55,100,,ThreatFox,2026-09-04 18:36:05 UTC
https://arernathy.sbs/api/v1/status,url,KongTuke,media,55,100,,ThreatFox,2026-09-04 18:24:34 UTC
https://arernathy.sbs/api/v1/verify,url,KongTuke,media,55,100,,ThreatFox,2026-09-04 18:19:52 UTC
https://arernathy.sbs/api/v1/session,url,KongTuke,media,55,100,,ThreatFox,2026-09-04 18:19:51 UTC
https://caapman.me/api/v1/status,url,KongTuke,media,55,100,,ThreatFox,2026-09-04 18:11:16 UTC
https://caapman.me/api/v1/verify,url,KongTuke,media,55,100,,ThreatFox,2026-09-04 18:11:15 UTC
https://caapman.me/api/v1/session,url,KongTuke,media,55,100,,ThreatFox,2026-09-04 18:11:14 UTC
