valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto,edad_dias
dk1oqrra.en-us-en-heroup.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-01 11:13:58 UTC,0
t4gd7ofi.retinaclier.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-01 10:55:14 UTC,0
rkny771c.shop-memorylift.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-01 02:41:12 UTC,0
shop-memorylift.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-01 02:40:46 UTC,0
pdejstkd.shop-neuro-sharp.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-01 02:35:52 UTC,0
fdtujzrt.shop-lipovive.us,domain,ClearFake,media,56,100,,ThreatFox,2026-09-01 02:33:46 UTC,0
shop-neuro-sharp.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-01 02:32:50 UTC,0
vitamindpi55.digital,domain,IClickFix,media,56,100,,ThreatFox,2026-08-31 21:05:22 UTC,0
pjp9p9qh.teamgetdsm.com,domain,ClearFake,media,56,100,,ThreatFox,2026-08-31 11:44:33 UTC,1
glyco--mute.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 10:52:57 UTC,0
glyco-glycofree.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 10:51:26 UTC,0
wrx8mbpe.en-trump-token.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 09:14:33 UTC,0
szlqgs89.shop-nervealive.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 07:42:21 UTC,0
shop-nervealive.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 07:41:25 UTC,0
hkd.sm188dvlv.lol,domain,Vidar,media,55,100,,ThreatFox,2026-09-01 07:39:36 UTC,0
gaz.sm188dvlv.lol,domain,Vidar,media,55,100,,ThreatFox,2026-09-01 07:39:36 UTC,0
8mpvpdgn.shop-lungexpandpro.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 07:33:36 UTC,0
shop-lungexpandpro.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 07:32:24 UTC,0
j1tkppsh.en-hero-up.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 07:12:25 UTC,0
nyhj91bw.shop-neurovera.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 06:43:44 UTC,0
shop-neurovera.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 06:43:30 UTC,0
wgx2w28e.chelseatbaldeagle.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 05:14:03 UTC,0
chelseatbaldeagle.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 05:10:13 UTC,0
0qepx6f4.cdn-jbgroup.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 03:11:01 UTC,0
cdn-jbgroup.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 03:09:36 UTC,0
63ksxix5.shop-prostafense.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 03:09:01 UTC,0
shop-prostafense.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 03:08:11 UTC,0
shop-lipovive.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 02:32:36 UTC,0
e784kfx8.shop-powerbite.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 01:08:17 UTC,0
hkd.138sportlogin.org,domain,Vidar,media,55,100,,ThreatFox,2026-09-01 00:50:45 UTC,0
c16xfxw4.shop-enerflow.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 23:10:50 UTC,0
shop-enerflow.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 23:07:10 UTC,0
ecuador.embajada.gob.ve,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 22:35:25 UTC,0
edpartnerspk.com,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 22:34:30 UTC,0
electroste99.life,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 22:33:30 UTC,0
ecortiella.com,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 22:32:24 UTC,0
dynalarme.fr,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 22:26:31 UTC,0
9ngdq1sh.shop-cogniclear.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 22:25:18 UTC,0
shop-cogniclear.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 22:21:52 UTC,0
cliff-bell.com,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 22:12:23 UTC,0
chrgasa.org,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 22:10:35 UTC,0
bloguc.com,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 21:49:44 UTC,0
mwks2u0x.shop-burnblend.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 21:43:53 UTC,0
shop-burnblend.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 21:40:28 UTC,0
qqzl80cb.shop-biodentix.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 21:32:39 UTC,0
shop-biodentix.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 21:31:25 UTC,0
autoescolalp.com.br,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 21:29:20 UTC,0
shaltaypi.life,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 21:17:27 UTC,0
apartsearcher.com,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 21:16:33 UTC,0
h6a927ks.shop-eloncode.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 21:09:10 UTC,0
agricropmarket.com,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 21:09:03 UTC,0
3dtailorplugin.com,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 21:07:10 UTC,0
shop-eloncode.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 21:06:44 UTC,0
finnancialpl.com,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 19:30:39 UTC,0
interactivsbroker.com,domain,IClickFix,media,55,100,,ThreatFox,2026-08-31 19:30:37 UTC,0
7po1l9nh.shop-echofree.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 19:08:02 UTC,0
shop-echofree.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 19:06:38 UTC,0
gaz.138sportlogin.org,domain,Vidar,media,55,100,,ThreatFox,2026-08-31 19:00:45 UTC,0
gaz.12naga.org,domain,Vidar,media,55,100,,ThreatFox,2026-08-31 18:50:45 UTC,0
noi403e7.shop-cardioslim-tea.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 18:13:04 UTC,0
shop-cardioslim-tea.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 18:10:56 UTC,0
iuhdcqg0.shop-dentilock.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 17:08:03 UTC,0
shop-dentilock.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 17:05:59 UTC,0
gen.12naga.org,domain,Vidar,media,55,100,,ThreatFox,2026-08-31 17:00:45 UTC,0
sxohnfj3.shop-blinzador.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 16:40:17 UTC,0
shop-blinzador.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 16:39:49 UTC,0
shop-gutlite.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 16:39:32 UTC,0
mqduizlq.shop-biodentex.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 16:31:17 UTC,0
shop-biodentex.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 16:30:34 UTC,0
privetbelvedere.net,domain,SmartApeSG,media,55,100,,ThreatFox,2026-08-31 16:11:02 UTC,0
r2vpglmz42fs5762tchek55bg4kdg3c6ozipg7wqs2ghzbhsdtwkzmyd.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-08-31 15:46:46 UTC,0
rz5lecsm2re5ec4im362jnalrypxylxsdobuibuotbovvs4d3ctrcoyd.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-08-31 15:46:46 UTC,0
hhj2nouojnatg6gvhfgrcqdanoe244gf26pixpnrcoxs7jiqu4atvzyd.onion,domain,Unknown malware,media,55,100,,ThreatFox,2026-08-31 15:46:45 UTC,0
y1w1e9yu.shop-dentavive.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 15:08:10 UTC,0
shop-dentavive.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 15:05:49 UTC,0
ninjabattlearena.cfd,domain,Unknown Webinject,media,55,100,,ThreatFox,2026-08-31 14:19:27 UTC,1
pa-upd.mariomilan.com,domain,FAKEUPDATES,media,55,100,,ThreatFox,2026-08-31 14:10:50 UTC,1
softcrate.cfd,domain,Unknown Loader,media,55,100,,ThreatFox,2026-08-31 14:03:46 UTC,1
bbtidwyn.shop-cardioslim.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 14:03:36 UTC,1
shop-cardioslim.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 14:01:09 UTC,1
sakurinos.com,domain,Unknown Stealer,media,55,100,,ThreatFox,2026-08-31 13:15:05 UTC,1
9mrz5b66.shop-dentalprime.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 13:06:04 UTC,1
shop-dentalprime.com,domain,ClearFake,media,55,100,,ThreatFox,2026-08-31 13:05:03 UTC,1
