valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto,edad_dias
94.154.43.88,ip:port,Mirai,alta,72,80,NL,ThreatFox,2026-09-04 07:19:41 UTC,1
94.154.43.107,ip:port,Unknown malware,alta,71,75,NL,ThreatFox,2026-09-04 11:29:44 UTC,0
213.152.162.118,ip:port,Remcos,alta,71,100,NL,ThreatFox,2026-09-04 06:42:43 UTC,1
47.254.206.163,ip:port,Unknown malware,media,69,50,MY,ThreatFox,2026-09-05 00:20:41 UTC,0
43.153.58.28,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-05 00:20:41 UTC,0
2.26.172.97,ip:port,Unknown malware,media,68,50,DE,ThreatFox,2026-09-05 00:20:06 UTC,0
169.58.124.39,ip:port,Unknown malware,media,68,50,DE,ThreatFox,2026-09-05 00:19:50 UTC,0
3.83.245.221,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-05 00:19:43 UTC,0
64.62.197.95,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-05 00:19:42 UTC,0
65.20.158.10,ip:port,Unknown malware,media,68,50,IQ,ThreatFox,2026-09-05 00:19:36 UTC,0
47.84.100.118,ip:port,Unknown malware,media,68,50,SG,ThreatFox,2026-09-05 00:19:34 UTC,0
66.132.172.111,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-05 00:19:30 UTC,0
66.132.172.153,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-05 00:19:17 UTC,0
178.16.53.6,ip:port,Unknown malware,media,68,50,NL,ThreatFox,2026-09-05 00:19:05 UTC,0
51.178.48.203,ip:port,Unknown malware,media,68,50,FR,ThreatFox,2026-09-05 00:18:30 UTC,0
207.90.244.18,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-05 00:18:21 UTC,0
185.122.164.213,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-05 00:18:15 UTC,0
45.148.10.240,ip:port,Unknown malware,media,68,50,AD,ThreatFox,2026-09-05 00:18:10 UTC,0
92.118.39.14,ip:port,Unknown malware,media,68,50,NL,ThreatFox,2026-09-05 00:18:10 UTC,0
216.226.76.30,ip:port,Unknown malware,media,68,50,GB,ThreatFox,2026-09-05 00:18:04 UTC,0
193.163.125.185,ip:port,Unknown malware,media,68,50,GB,ThreatFox,2026-09-05 00:17:47 UTC,0
153.37.177.219,ip:port,Unknown malware,media,68,50,CN,ThreatFox,2026-09-05 00:17:29 UTC,0
94.154.43.70,ip:port,Unknown malware,media,68,50,NL,ThreatFox,2026-09-05 00:17:28 UTC,0
91.92.240.38,ip:port,Unknown malware,media,68,50,DE,ThreatFox,2026-09-05 00:17:24 UTC,0
43.157.230.160,ip:port,Unknown malware,media,68,50,ID,ThreatFox,2026-09-05 00:17:13 UTC,0
203.115.98.138,ip:port,Unknown malware,media,68,50,IN,ThreatFox,2026-09-05 00:16:53 UTC,0
66.132.172.197,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-05 00:16:45 UTC,0
123.30.106.64,ip:port,Unknown malware,media,68,50,VN,ThreatFox,2026-09-05 00:16:44 UTC,0
66.132.195.19,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-05 00:16:37 UTC,0
160.119.76.210,ip:port,Unknown malware,media,68,50,NL,ThreatFox,2026-09-05 00:16:26 UTC,0
121.160.23.240,ip:port,Unknown malware,media,68,50,KR,ThreatFox,2026-09-05 00:15:53 UTC,0
213.209.159.25,ip:port,Unknown malware,media,68,50,DE,ThreatFox,2026-09-05 00:15:45 UTC,0
66.132.172.199,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-05 00:15:08 UTC,0
66.132.224.18,ip:port,Unknown malware,media,68,50,US,ThreatFox,2026-09-05 00:14:57 UTC,0
128.1.132.220,ip:port,Unknown malware,media,68,50,HK,ThreatFox,2026-09-05 00:14:54 UTC,0
195.177.94.11,ip:port,PureRAT,media,68,75,FR,ThreatFox,2026-09-04 19:44:56 UTC,0
173.44.62.244,ip:port,Unknown malware,media,64,50,US,ThreatFox,2026-09-05 00:18:53 UTC,0
