valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto,edad_dias
wh9w824a.shop-dentavive.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-02 03:47:04 UTC,0
3sri19l0.shop-aquaburn.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-02 03:39:42 UTC,0
panv25do.prosta-fense.org,domain,ClearFake,media,56,100,,ThreatFox,2026-09-02 03:30:23 UTC,0
eebc669y.eng-us-puraboost.us,domain,ClearFake,media,56,100,,ThreatFox,2026-09-01 15:14:46 UTC,0
zg25d3bt.shop-alphaboostpro.us,domain,ClearFake,media,56,100,,ThreatFox,2026-09-01 15:06:38 UTC,0
dk1oqrra.en-us-en-heroup.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-01 11:13:58 UTC,0
t4gd7ofi.retinaclier.com,domain,ClearFake,media,56,100,,ThreatFox,2026-09-01 10:55:14 UTC,0
1cw38pnu.usa-puraboost.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-02 03:34:38 UTC,0
usa-puraboost.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-02 03:34:07 UTC,0
myjbgroup.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-02 03:19:35 UTC,0
profile.cobaltwayfinder.org,domain,SmartApeSG,media,55,100,,ThreatFox,2026-09-02 01:44:52 UTC,0
dl7iun9z.marathonmktggroup.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-02 01:20:42 UTC,0
gargona-music-prizdec.asia,domain,Unknown Stealer,media,55,100,,ThreatFox,2026-09-02 01:19:39 UTC,0
gor.138sportlogin.org,domain,Vidar,media,55,100,,ThreatFox,2026-09-02 00:25:45 UTC,0
bedotiq.net,domain,Unknown RAT,media,55,100,,ThreatFox,2026-09-01 23:59:03 UTC,0
moweros.net,domain,Unknown RAT,media,55,100,,ThreatFox,2026-09-01 23:59:03 UTC,0
ztcgioka.shop-alphatonic.us,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 23:26:01 UTC,0
r4o1re7p.hero--up.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 23:16:25 UTC,0
1ftqbb0b.shop-dentalprime.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 22:43:03 UTC,0
edbxs545.us-en-us-heroup.com,domain,ClearFake,media,55,100,,ThreatFox,2026-09-01 22:33:56 UTC,0
