valor,tipo,amenaza,nivel,score,confianza,pais,fuente,visto,edad_dias
http://loveher.dpdns.org,url,Mirai,media,57,100,,ThreatFox,2026-09-02 18:06:37 UTC,0
https://2.29.12.45,url,Vidar,media,56,100,,ThreatFox,2026-09-03 01:02:42 UTC,0
https://raw.githubusercontent.com/cowenrty/empathic/refs/heads/main/cornea,url,ClearFake,media,56,100,,ThreatFox,2026-09-02 23:37:38 UTC,0
https://raw.githubusercontent.com/cowenrty/fidgeting/refs/heads/main/obstacle,url,ClearFake,media,56,100,,ThreatFox,2026-09-02 16:00:53 UTC,0
https://raw.githubusercontent.com/frantario/nativity/refs/heads/main/landing,url,ClearFake,media,56,100,,ThreatFox,2026-09-02 14:58:01 UTC,0
https://raw.githubusercontent.com/frantario/tropa47/refs/heads/main/lytkc14,url,ClearFake,media,56,100,,ThreatFox,2026-09-02 10:46:03 UTC,0
https://raw.githubusercontent.com/Loolu2846/ruta3742/refs/heads/main/rita80,url,ClearFake,media,56,100,,ThreatFox,2026-09-02 09:50:31 UTC,1
https://hot.13balien.org/,url,Vidar,media,55,100,,ThreatFox,2026-09-02 23:15:45 UTC,0
https://raw.githubusercontent.com/frantario/cloud/refs/heads/main/situated,url,ClearFake,media,55,100,,ThreatFox,2026-09-02 23:13:15 UTC,0
http://langec.jewmailer.net:7768,url,Mirai,media,55,100,,ThreatFox,2026-09-02 18:12:33 UTC,0
http://vps.atlas101.us.kg,url,Mirai,media,55,100,,ThreatFox,2026-09-02 17:27:48 UTC,0
https://io.honeysucklefolio.co/status/legacy-view.js,url,SmartApeSG,media,55,100,,ThreatFox,2026-09-02 16:54:16 UTC,0
https://31.77.220.180,url,Vidar,media,55,100,,ThreatFox,2026-09-02 16:28:45 UTC,0
https://v-lan.asia/login,url,Vidar,media,55,100,,ThreatFox,2026-09-02 16:28:40 UTC,0
https://registration.v-panel.asia/,url,Vidar,media,55,100,,ThreatFox,2026-09-02 16:27:43 UTC,0
https://saaverra.sbs/api/v1/verify,url,KongTuke,media,55,100,,ThreatFox,2026-09-02 16:10:32 UTC,0
https://saaverra.sbs/api/v1/session,url,KongTuke,media,55,100,,ThreatFox,2026-09-02 16:10:31 UTC,0
http://brain.dynip.se:32722/is-ready,url,Houdini,media,55,100,,ThreatFox,2026-09-02 13:40:03 UTC,0
https://fpw.13balien.org/,url,Vidar,media,55,100,,ThreatFox,2026-09-02 13:35:45 UTC,0
https://raw.githubusercontent.com/frantario/tranday/refs/heads/main/ruty4839,url,ClearFake,media,55,100,,ThreatFox,2026-09-02 11:15:54 UTC,0
https://raw.githubusercontent.com/cowenrty/retushrem/refs/heads/main/neli,url,ClearFake,media,55,100,,ThreatFox,2026-09-02 07:16:35 UTC,1
https://cupiakleanav.com,url,Unknown malware,media,55,100,,ThreatFox,2026-09-02 05:50:00 UTC,1
https://internetserchinkas.co,url,Unknown malware,media,55,100,,ThreatFox,2026-09-02 05:50:00 UTC,1
http://137.59.218.242:50617/Mozi.m,url,Mozi,media,53,75,,ThreatFox,2026-09-03 00:19:03 UTC,0
http://160.30.142.218:44307/Mozi.m,url,Mozi,media,53,75,,ThreatFox,2026-09-03 00:19:02 UTC,0
http://119.30.117.159:46505/Mozi.m,url,Mozi,media,52,75,,ThreatFox,2026-09-03 00:19:03 UTC,0
http://153.117.9.176:46305/Mozi.m,url,Mozi,media,52,75,,ThreatFox,2026-09-02 18:21:45 UTC,0
http://223.123.71.42:37337/Mozi.m,url,Mozi,media,52,75,,ThreatFox,2026-09-02 18:21:44 UTC,0
https://dev.epicgames.com/community/api/user_profiles/profile.json?hash_id=XmE5L,url,Vidar,media,52,75,,ThreatFox,2026-09-02 16:05:28 UTC,0
https://profile.cobaltwayfinder.org/reset/gateway-runtime.js,url,SmartApeSG,media,52,80,,ThreatFox,2026-09-02 05:49:59 UTC,1
https://profile.cobaltwayfinder.org/reset/auth-runtime,url,SmartApeSG,media,52,80,,ThreatFox,2026-09-02 05:49:57 UTC,1
https://privetbelvedere.net/proxy/legacy-thread.js,url,SmartApeSG,media,52,80,,ThreatFox,2026-09-02 05:49:56 UTC,1
http://timelevel12.com/big,url,Unknown malware,media,52,80,,ThreatFox,2026-09-02 05:49:54 UTC,1
https://ultraspeed.pro/collect,url,Unknown malware,media,52,80,,ThreatFox,2026-09-02 05:49:54 UTC,1
https://yourownsupport.com/js/all.min.js,url,Unknown malware,media,52,80,,ThreatFox,2026-09-02 05:49:53 UTC,1
https://popularcomedybattle.com/js/all.min.js,url,Unknown malware,media,52,80,,ThreatFox,2026-09-02 05:49:52 UTC,1
https://yourownsupport.com/first_allow_host,url,Unknown malware,media,52,80,,ThreatFox,2026-09-02 05:49:51 UTC,1
https://fastonlinedelivery.com,url,Unknown malware,media,52,80,,ThreatFox,2026-09-02 05:49:51 UTC,1
