control_id,pilar,funcion_cisa,descripcion_funcion,capacidad_transversal,nist_800_207_ref,nist_800_53_ref,iso_27001_ref,ens_ref,nis2_ref,dora_ref,iso_22301_ref,rgpd_ref
CISA-ID-01,Identidad,Authentication,Verificacion continua de la identidad con MFA resistente a phishing,Visibility and Analytics,Seccion 2.1 - Tenet 4,"IA-2, IA-5, IA-8","A.5.15, A.5.17",op.acc.5,Art. 21.2.j,Art. 9.4.d,,Art. 32.1.b
CISA-ID-02,Identidad,Identity Stores,Consolidacion e integridad de los repositorios de identidad,Governance,Seccion 3.1 - Policy Engine,"IA-4, AC-2",A.5.16,op.acc.1,Art. 21.2.i,Art. 9.4.c,,Art. 32.1.b
CISA-ID-03,Identidad,Risk Assessments,Evaluacion de riesgo de la identidad en tiempo real,Visibility and Analytics,Seccion 2.1 - Tenet 7,"AC-2(12), SI-4","A.5.15, A.8.16",op.mon.1,Art. 21.2.a,Art. 10,,Art. 32.1.d
CISA-ID-04,Identidad,Access Management,Acceso just-in-time y de minimo privilegio,Automation and Orchestration,Seccion 2.1 - Tenet 6,"AC-6, AC-2(7)","A.5.15, A.8.2",op.acc.4,Art. 21.2.i,Art. 9.4.c,,Art. 32.1.b
CISA-DEV-01,Dispositivos,Policy Enforcement & Compliance Monitoring,Verificacion continua del cumplimiento del equipo,Visibility and Analytics,Seccion 2.1 - Tenet 5,"CM-6, SI-7",A.8.9,op.exp.2,Art. 21.2.a,Art. 9.2,,Art. 32.1.b
CISA-DEV-02,Dispositivos,Asset & Supply Chain Risk Management,Inventario de activos y gestion del riesgo de la cadena de suministro,Governance,Seccion 2.1 - Tenet 1,"CM-8, SR-3, SR-11","A.5.9, A.5.21",op.exp.1,Art. 21.2.d,"Art. 8, Art. 28",8.2,Art. 30
CISA-DEV-03,Dispositivos,Resource Access,El acceso del equipo al recurso depende de su postura,Automation and Orchestration,Seccion 2.1 - Tenet 3,"AC-3, AC-19",A.8.1,op.acc.2,Art. 21.2.i,Art. 9.4.c,,Art. 32.1.b
CISA-DEV-04,Dispositivos,Device Threat Protection,Proteccion frente a amenazas en el propio equipo,Visibility and Analytics,Seccion 2.1 - Tenet 5,"SI-3, SI-4",A.8.7,op.exp.6,Art. 21.2.b,Art. 10,,Art. 32.1.b
CISA-NET-01,Redes,Network Segmentation,Microsegmentacion y aislamiento de cargas,Automation and Orchestration,Seccion 3.1 - PEP,"SC-7, AC-4","A.8.20, A.8.22",mp.com.1,Art. 21.2.a,Art. 9.3,,Art. 32.1.b
CISA-NET-02,Redes,Network Traffic Management,Gestion del trafico segun aplicacion y riesgo,Visibility and Analytics,Seccion 2.1 - Tenet 2,"SC-7(11), AC-4",A.8.20,mp.com.4,Art. 21.2.a,Art. 9.3,,Art. 32.1.b
CISA-NET-03,Redes,Traffic Encryption,Cifrado de todo el trafico en transito,Governance,Seccion 2.1 - Tenet 2,"SC-8, SC-13",A.8.24,mp.com.2,Art. 21.2.h,Art. 9.2,,Art. 32.1.a
